ts_main,nbtx,ts,wlx,diff,ratio
2025-08-18 14:40:00,93438.0,2025-08-18 14:40:00,93117.0,-321.0,0.9965645668785719
2025-08-18 14:41:00,93362.0,2025-08-18 14:41:00,93148.0,-214.0,0.9977078468756025
2025-08-18 14:42:00,93362.0,2025-08-18 14:42:00,93145.0,-217.0,0.9976757138878773
2025-08-18 14:43:00,93401.0,2025-08-18 14:43:00,93123.0,-278.0,0.9970235864712369
2025-08-18 14:44:00,93380.0,2025-08-18 14:44:00,93139.0,-241.0,0.9974191475690726
2025-08-18 14:45:00,93300.0,2025-08-18 14:45:00,93139.0,-161.0,0.9982743837084673
2025-08-18 14:46:00,93460.0,2025-08-18 14:46:00,93130.0,-330.0,0.996469077680291
2025-08-18 14:47:00,93489.0,2025-08-18 14:47:00,93131.0,-358.0,0.996170672485533
2025-08-18 14:48:00,93487.0,2025-08-18 14:48:00,93139.0,-348.0,0.9962775573074332
2025-08-18 14:49:00,93486.0,2025-08-18 14:49:00,93136.0,-350.0,0.9962561239116018
2025-08-18 14:50:00,93487.0,2025-08-18 14:50:00,93127.0,-360.0,0.996149197214586
